arabic_word,english_word,source_id,confidence
الغيل,Al-Ghayl,0.0,high
المجارب,Al-Majarib,0.0,high
الرقعه,Al-Ruq'ah,1.0,high
الزهيرة,Al-Zuhaira,2.0,high
المعقم,Al-Mu'aqam,3.0,high
جديمه,Jadima,3.0,high
الدردعى,Ad-Darda'i,4.0,high
البقرين,Al-Baqrayn,5.0,high
الحرف,Al-Harf,6.0,high
الحصب,Al-Hasab,7.0,high
الماقبه,Al-Maqbah,8.0,high
القبه,Al-Qubbah,10.0,high
عراكبه,Arakbah,11.0,high
الشقتين,Ash-Shuqatayn,12.0,high
الصريح,As-Sarih,13.0,high
ضاربة,Daribah,15.0,high
احوال,Ahwal,17.0,high
كريف,Krif,17.0,high
السويهره,Al-Suwayhira,19.0,high
جويب,Juwayb,20.0,high
الروينه,Al-Ruwayna,21.0,high
العوينه,Al-Awaina,23.0,high
البارز,Al-barez,24.0,high
الذنبه,Al-Dhanba,25.0,high
المعاين,Al-muaeen,26.0,high
الراكبه,Al-rakbah,27.0,high
الرمادي,Al-ramady,28.0,high
دار,Dar,29.0,high
القعموس,al-Qa'mus,29.0,high
كبة,Kubbat,30.0,high
القوبز,al-Qubz,30.0,high
قطيع,Qateea,31.0,high
الحمره,Alhamrah,31.0,high
الجوبر,Al-Jawbar,33.0,high
الهنقوب,Al-Hanqoub,34.0,high
المعابده,Al-Ma'abdah,35.0,high
المداور,Al-Madawer,36.0,high
المودقه,Al-Mawdaqah,37.0,high
بيت,Bayt,38.0,high
القضيب,Al-Qadib,38.0,high
شعب,Sha'ab,39.0,high
الزريعي,Al-Zari'i,39.0,high
حمر,Hamr,40.0,high
سويد,Suwaid,41.0,high
الادروس,Al-Adrus,42.0,high
خباثه,Khabathah,43.0,high
الدحاح,Ad-Dahah,44.0,high
الابرحه,Al-Abraha,45.0,high
العارضة,Al-Aridah,47.0,high
الحرضة,Al-Harada,48.0,high
الجويح,Al-Juwayh,49.0,high
